source,path,label_id,label_key,split,group_id,sha1,dhash
plantdoc-2020,test/Tomato Early blight leaf/039b47d574bc4bb8a14259a1cd96a741.jpg,1,tomato_early_blight,train,18463,d0638da4d8a31d7309ce233087eb928f61818927,fffffef6f6d6bafc
plantdoc-2020,test/Tomato Early blight leaf/100983448.jpg,1,tomato_early_blight,train,18464,3b93c385db6519ca58f3ff6158e75d439d78e67a,0f1f1c0e1e0fc7c2
plantdoc-2020,test/Tomato Early blight leaf/1234080-Early-Blight.jpg,1,tomato_early_blight,val,18465,e1a37057d7be8b7d6fc2e302b66c1e6d82087363,83879b8f1e16cf88
plantdoc-2020,test/Tomato Early blight leaf/Shoemaker_7068.JPG.jpg,1,tomato_early_blight,train,18466,f49674f4be186c4c7f495b6be506e11dd63d2541,e1e0606123048899
plantdoc-2020,test/Tomato Early blight leaf/bugs-and-blight-061.jpg,1,tomato_early_blight,train,18467,b11b0b46eb48a58bccb5187a0fc6258c92a30654,1b2f4f4d55d9cb63
plantdoc-2020,test/Tomato Early blight leaf/dscn3175.jpg,1,tomato_early_blight,train,18468,2d74e46fa14c6a9f431c1efefd47fb4834c01c7b,7d3c2d8eaf6f6e2f
plantdoc-2020,test/Tomato Early blight leaf/early_blight1-150x150.jpg,1,tomato_early_blight,val,18469,2bf10bc6fc53c5cde8746715a0b2e07c75c29f96,0705c0e485834608
plantdoc-2020,test/Tomato Early blight leaf/earlyblight21_.jpg,1,tomato_early_blight,train,18470,bdac35dea6731dd925ed168240b32c5aa7a0c2a1,3292990d26efdfcf
plantdoc-2020,test/Tomato Early blight leaf/tomato_early-blight_01_zoom.jpg,1,tomato_early_blight,val,18471,860029bce7b41359fce6c31fd0186632c0c8c21c,b321771a18b4b475
plantdoc-2020,test/Tomato Septoria leaf spot/0.jpg,4,tomato_septoria_leaf_spot,val,18472,c88b793f8d48e5d9691b610ba080cb848d7291f3,d4d48ea6b286c480
plantdoc-2020,test/Tomato Septoria leaf spot/2STEM.jpg,4,tomato_septoria_leaf_spot,train,18473,cf2d5e909234beb2975a6c9a22bfbaad9e7e29a1,f0e0e4e0e0607070
plantdoc-2020,test/Tomato Septoria leaf spot/2septoria-tomato.jpg,4,tomato_septoria_leaf_spot,train,18474,1039faee56365a937471d14cb77c3fa5b4fbb7a2,07071f1b3363676f
plantdoc-2020,test/Tomato Septoria leaf spot/55830b60a7cf2.image.jpg,4,tomato_septoria_leaf_spot,train,18475,05744a15dd766cd59336760dbc577f44aff2e0de,cbc349589834a4cf
plantdoc-2020,test/Tomato Septoria leaf spot/6134794031202304.jpeg.jpg,4,tomato_septoria_leaf_spot,train,18476,b7a4b4ce7da6fd3697b7b99a7337a66603947dd4,b0d1139a1e167939
plantdoc-2020,test/Tomato Septoria leaf spot/636227737977191231-septoria-leaf-spot-VT.jpg,4,tomato_septoria_leaf_spot,train,18477,82bf5bfac2aa53601881e97cadc354af68f12ac8,796019516149c927
plantdoc-2020,test/Tomato Septoria leaf spot/6447731_orig.jpg,4,tomato_septoria_leaf_spot,train,18478,b1775afcd2b979063182a3440ace1f403de34c94,f8f4f48c8d3f6fe6
plantdoc-2020,test/Tomato Septoria leaf spot/7-17-Photo3_Septoria-MARY.jpg,4,tomato_septoria_leaf_spot,train,18479,2b210028a94acafc1afe2501f01645d0787b983c,c1c3d3d3b7262694
plantdoc-2020,test/Tomato Septoria leaf spot/RARZ4.jpg,4,tomato_septoria_leaf_spot,train,18480,a535f01612d2c47d48a4bd8ddc2af21d62d8d843,7676783667672723
plantdoc-2020,test/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,4,tomato_septoria_leaf_spot,test,17958,497ee7d58f44fe5ea0dc09f3b8cb54fc632e3835,3e1e1cbc3d757c4d
plantdoc-2020,test/Tomato Septoria leaf spot/sept4disease-019.jpg,4,tomato_septoria_leaf_spot,test,18481,94af184d0a0c76e036553522553a97bdd1d2f172,f7c3c1d4dcdcf0e3
plantdoc-2020,test/Tomato leaf bacterial spot/%2320+Bacterial+Spot+and+Speck.jpg,0,tomato_bacterial_spot,val,18482,2d69e88e4feaed9acc77a572a5bf82d0b3bb705c,868088c8c0c0c480
plantdoc-2020,test/Tomato leaf bacterial spot/07.17.18-Common_Tomato_Diseases_Canker-258x300.jpg,0,tomato_bacterial_spot,train,18483,470f68c3be87b4d80826b89f9b37a0590e00e1ef,0f0533919992d35a
plantdoc-2020,test/Tomato leaf bacterial spot/Bacterial_spots563.jpg,0,tomato_bacterial_spot,train,18484,7ec6ef3e99ea109b3ef6c707b36645e58ab9da90,2f5e5dceee659918
plantdoc-2020,test/Tomato leaf bacterial spot/Tom_Bact3.jpg,0,tomato_bacterial_spot,train,18485,6cddb777ff0035a5f8c7affd25ff6f5c29d4fb36,6323232327233331
plantdoc-2020,test/Tomato leaf bacterial spot/Tom_Bact7.jpg,0,tomato_bacterial_spot,train,18486,67141db3cc060049f6ef60de94ede0f80b30a6d3,27e7c9d89cb1f333
plantdoc-2020,test/Tomato leaf bacterial spot/Tomato%2BBacterial%2BSpot%2Bon%2BLeaves.jpg,0,tomato_bacterial_spot,train,18487,9c17dc34cc42674ec6174bbc8d2b68ca3794acab,99cf8f3e1e0f969e
plantdoc-2020,test/Tomato leaf bacterial spot/bact-spot-fig-1.jpg,0,tomato_bacterial_spot,train,18488,f30742744d8c7acd11e45d97b315125e6678c87c,70b9d9862898392b
plantdoc-2020,test/Tomato leaf bacterial spot/tomato_bacterial-speck_01_zoom.jpg,0,tomato_bacterial_spot,train,18489,732db7c70155443d2713307b716acf94baccf726,3111002f7b72661c
plantdoc-2020,test/Tomato leaf late blight/110822-206-Tomato-blight.jpg,2,tomato_late_blight,val,18490,d13889ecc2026bdd944ed6208fd6c1c22f514c38,9bd3e9ef8e3e1ece
plantdoc-2020,test/Tomato leaf late blight/18c.jpg,2,tomato_late_blight,train,18165,843ee1bed578a6ebc667403b15c5486c9dd69bf2,e3c787070f274ecc
plantdoc-2020,test/Tomato leaf late blight/636368370164094909-late-blight-15-.jpg,2,tomato_late_blight,train,18491,1dc75e5ae499d4f59f388e580ba7ea4e30ec7251,60f0d9b358303860
plantdoc-2020,test/Tomato leaf late blight/70.jpg,2,tomato_late_blight,train,18492,3691ee11efb3556b6c55a696a70673aedda373ce,93a7878e86c461a3
plantdoc-2020,test/Tomato leaf late blight/E%29Tomato-late-blight-foliar.jpg,2,tomato_late_blight,train,18493,3041e1c4a646046e7b15be452dc092e29993d42c,1327479b1b3a2333
plantdoc-2020,test/Tomato leaf late blight/IMG_5808.jpg,2,tomato_late_blight,test,18494,9f5050e9f42ba91bb2f15a33ecebb9c0ede58f74,d33030b23cacb372
plantdoc-2020,test/Tomato leaf late blight/LateBlt09_06.jpg,2,tomato_late_blight,train,18495,912b5d75c7a6e4facb2a30609711ed0be595e751,52389c8dccccccac
plantdoc-2020,test/Tomato leaf late blight/dsc_8148cs.jpg,2,tomato_late_blight,train,18496,fae171c90b66f4aa2cfa6b0e100c70e73c0b74fb,4c0e0c0646432098
plantdoc-2020,test/Tomato leaf late blight/image.jpg,2,tomato_late_blight,train,18497,5c30735731332f699cea4320508324170b0b35fe,3337c3696963c787
